i_1485,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i_1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
i_1487,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
i_1486,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
i_1480,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
i_1483,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
i_1482,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
i_1489,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
i_1488,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
i_383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
i_3668,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
i_1009,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
i_1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
i_3235,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i_1001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i_1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
i_1003,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
i_1002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i_1005,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i_1004,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
i_1007,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
i_1006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
i_1739,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
i_1738,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i_3230,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
i_1735,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
i_1734,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
