u_970,488,6,6,61,33,3,52,80,89,22,73,6,21,0,17,3,9,5,2
u_1816,118,1,3,6,11,2,7,14,19,3,13,20,8,0,5,3,1,0,2
u_1817,137,5,3,15,9,4,2,16,22,5,13,4,26,0,7,3,1,2,0
u_1814,69,0,0,5,7,1,0,7,13,1,9,2,19,1,2,0,1,1,0
u_1815,75,2,3,8,6,3,1,8,13,0,3,1,20,0,5,2,0,0,0
u_1812,913,15,26,194,63,20,84,175,103,17,57,24,79,3,23,11,11,3,5
u_1813,21,0,0,6,0,0,7,5,1,1,0,0,0,0,1,0,0,0,0
u_1810,58,0,0,4,0,0,3,10,1,4,12,0,1,0,1,0,19,3,0
u_1811,41,1,0,8,3,0,3,8,3,1,3,3,4,0,2,1,0,1,0
u_976,33,0,0,11,2,1,0,4,3,0,3,2,4,0,1,0,1,1,0
u_1818,78,5,10,10,10,7,1,10,11,0,4,1,4,0,2,2,0,0,1
u_1819,186,1,3,13,13,5,10,24,34,5,14,9,34,0,9,5,3,3,1
u_5049,307,9,11,71,14,4,22,68,23,13,22,3,17,7,10,5,5,2,1
u_5048,144,2,5,27,5,2,23,42,7,6,5,1,2,0,8,7,0,0,2
u_5045,26,2,0,13,0,0,1,1,0,2,2,0,0,0,1,1,1,1,1
u_5044,178,1,5,49,6,4,22,60,3,2,7,4,4,0,2,9,0,0,0
u_5047,355,1,2,63,11,4,23,92,22,27,52,1,22,1,7,2,18,5,2
u_5046,1057,13,18,188,44,14,54,216,128,64,101,41,52,15,42,17,21,14,15
u_5041,193,1,1,32,16,4,13,39,21,7,17,6,15,0,6,4,6,3,2
u_5040,193,0,5,13,12,2,1,10,36,3,24,30,50,0,5,1,1,0,0
u_5043,57,0,3,12,4,2,20,8,2,0,1,0,3,0,2,0,0,0,0
u_5042,398,14,20,107,11,8,40,110,18,9,16,8,9,2,9,7,8,1,1
u_1609,345,8,7,79,11,1,45,72,25,12,25,8,4,0,20,12,7,4,5
u_1608,27,2,2,6,0,0,2,8,1,0,1,2,0,0,1,0,1,1,0
u_1979,21,0,0,2,1,0,4,7,2,0,3,0,0,0,2,0,0,0,0
u_1978,184,2,3,34,16,5,4,24,30,3,19,5,19,1,9,3,2,2,3
u_1603,80,0,1,12,2,1,10,17,7,5,12,0,2,0,0,0,10,1,0
u_1602,181,3,3,32,8,3,13,49,20,9,13,4,10,0,9,1,2,2,0
u_1601,340,3,4,35,27,0,16,39,87,24,46,7,32,0,12,0,3,2,3
u_1600,434,4,11,88,38,10,28,53,62,16,35,6,32,1,15,20,6,4,5
