66,42,1,3,8,2,0,0,8,5,0,1,1,4,0,6,3,0,0,0
133,191,1,3,25,5,2,20,59,13,9,26,8,6,0,4,2,5,1,2
132,85,2,6,42,3,2,5,11,4,3,0,2,2,0,0,3,0,0,0
131,296,7,3,44,15,4,23,76,27,10,31,9,17,5,8,4,4,7,2
130,173,2,1,11,13,1,5,17,58,6,20,5,19,0,9,1,1,1,3
137,231,3,5,26,14,2,23,37,35,11,26,11,15,0,8,5,5,1,4
136,388,10,19,85,15,6,31,66,20,7,26,20,23,10,14,23,8,1,4
135,77,4,3,23,6,0,5,8,7,1,6,5,5,0,0,1,1,1,1
129,199,2,1,19,17,0,5,28,44,37,25,1,10,0,2,1,2,3,2
139,260,12,17,37,25,9,8,27,31,5,13,20,23,5,10,14,2,1,1
138,77,1,0,3,2,0,2,18,11,20,7,1,5,0,3,0,1,3,0
166,396,7,16,67,25,9,29,67,38,5,44,18,36,2,9,5,15,2,2
24,148,2,1,38,11,2,19,37,11,4,2,1,8,1,6,3,1,0,1
25,114,3,3,10,16,1,3,9,25,1,9,2,23,0,6,1,1,1,0
26,334,3,12,105,11,7,41,68,28,7,17,3,10,0,8,2,5,1,6
27,76,1,1,19,3,3,4,15,5,4,4,1,2,0,3,0,2,7,2
20,34,0,0,1,4,0,0,4,11,2,3,0,6,0,2,0,1,0,0
21,23,7,3,3,2,0,0,0,2,0,0,0,3,0,0,1,0,1,1
22,311,3,10,68,25,6,12,25,48,11,44,15,24,1,4,3,9,0,3
23,382,7,13,43,31,20,14,35,52,23,41,16,62,3,6,4,7,4,1
160,15,0,0,0,1,1,0,4,2,1,2,2,2,0,0,0,0,0,0
28,106,0,0,19,4,2,14,19,9,4,11,3,7,0,4,1,4,4,1
29,129,1,0,5,12,1,5,13,42,6,19,2,12,0,10,1,0,0,0
94,16,1,2,3,0,0,0,0,0,0,0,7,2,0,0,1,0,0,0
97,133,2,3,21,4,1,12,30,4,8,11,3,2,0,6,5,9,9,3
8,155,3,3,12,6,0,14,59,22,6,18,1,6,0,4,0,1,0,0
96,74,3,4,4,4,0,6,24,9,2,8,0,2,0,5,1,0,0,2
120,66,0,0,8,3,0,1,16,10,8,8,4,4,0,2,0,2,0,0
121,106,1,2,8,15,4,1,4,20,0,7,7,32,0,3,0,1,1,0
122,86,1,0,6,11,1,3,8,28,3,7,1,10,0,5,1,0,0,1
123,576,3,10,92,33,3,33,114,74,23,83,21,24,0,19,3,20,10,11
124,26,0,2,2,1,0,0,10,3,1,5,0,1,0,1,0,0,0,0
125,90,0,0,6,6,1,6,10,28,6,9,3,5,0,6,0,1,1,2
126,63,0,0,9,1,0,14,18,9,3,3,0,1,0,1,2,0,2,0
127,194,2,1,11,19,3,9,36,33,5,34,4,18,0,12,0,3,2,2
128,26,1,1,5,2,0,2,5,2,0,0,1,3,0,2,2,0,0,0
2,133,0,0,12,9,1,10,42,23,4,11,0,8,0,10,0,2,0,1
91,42,0,0,17,1,1,6,7,3,1,0,0,0,0,4,0,1,0,1
59,177,0,1,21,6,0,34,46,10,4,10,3,5,0,11,14,5,5,2
58,448,12,20,60,28,9,21,73,66,11,35,17,62,0,13,9,6,2,4
55,19,2,2,2,0,0,1,5,1,1,5,0,0,0,0,0,0,0,0
54,33,1,1,17,1,1,2,3,1,0,1,1,2,0,0,0,1,0,1
57,68,6,6,11,5,0,0,6,9,2,6,5,7,0,1,4,0,0,0
56,62,2,3,13,0,0,5,16,4,4,7,0,0,0,6,2,0,0,0
51,46,4,4,16,0,0,4,7,2,0,3,2,2,0,0,2,0,0,0
50,38,1,1,10,2,0,5,10,2,1,4,0,2,0,0,0,0,0,0
53,715,18,26,77,38,21,46,135,73,23,74,51,74,0,19,24,9,2,5
52,103,0,0,10,5,1,6,14,33,4,16,2,7,0,2,0,1,0,2
199,463,1,7,57,26,6,49,102,78,18,36,5,38,0,27,2,7,1,3
198,419,12,23,80,45,9,18,45,74,15,24,6,31,0,16,13,2,1,5
134,232,3,4,24,18,3,10,18,65,7,31,4,31,0,3,4,3,0,4
195,864,17,32,134,70,20,38,156,98,25,77,49,81,6,19,13,18,5,6
194,47,1,4,21,2,1,8,5,2,0,1,0,0,0,1,1,0,0,0
197,20,0,0,6,2,0,1,7,2,0,0,0,1,0,1,0,0,0,0
67,69,0,0,8,3,0,7,28,5,5,3,0,2,0,5,1,0,1,1
191,23,0,0,10,1,0,0,5,1,1,3,0,1,0,0,0,1,0,0
190,163,5,5,22,11,2,8,31,16,7,16,10,9,0,6,6,4,3,2
193,252,6,5,51,14,0,22,55,16,9,21,6,13,3,13,8,6,4,0
192,569,12,21,72,43,9,41,86,100,27,63,9,41,1,15,11,11,2,5
115,38,1,1,4,2,0,0,4,6,0,5,7,4,0,1,2,1,0,0
114,136,19,35,18,16,8,5,12,2,0,1,0,6,0,1,11,1,0,1
117,565,21,27,56,47,14,11,42,97,8,52,64,80,1,12,21,3,1,8
116,99,1,6,10,10,11,2,15,17,5,7,4,7,0,2,0,1,1,0
111,92,2,1,19,2,0,15,27,6,2,8,0,2,1,3,1,2,0,1
110,95,0,0,7,5,0,6,11,17,26,14,4,3,0,1,0,1,0,0
113,62,1,1,4,3,0,3,9,9,1,16,4,9,1,1,0,0,0,0
176,65,1,0,29,7,1,5,3,6,0,2,1,5,0,1,2,0,1,1
82,152,0,0,10,7,1,8,22,23,6,38,5,18,0,3,0,11,0,0
83,113,5,10,15,11,14,7,14,13,2,6,6,7,0,0,1,1,0,1
