p	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5
0.1	0.723901689708	0.720890160947	0.717976767267	0.715256676629	0.713662223639
0.2	0.725725345622	0.719430923536	0.718016413683	0.716070572284	0.714075908241
0.3	0.727725345622	0.720482406034	0.718855568474	0.716879358159	0.715651203936
0.4	0.728951152074	0.724135765759	0.720978054564	0.718513558694	0.717833225448
0.5	0.730546850998	0.727881672239	0.722770417403	0.720337322874	0.718636515888
0.6	0.735062980031	0.727840953126	0.725045887509	0.72221255212	0.719751165651
0.7	0.736353302611	0.729495550616	0.724942550124	0.723042700358	0.720881319733
0.8	0.740611367127	0.731646767948	0.726581636361	0.72357663993	0.721437865787
0.9	0.73777265745	0.732413128771	0.727181022217	0.724570457298	0.721765541991
1.0	0.735708141321	0.730155311908	0.726703013357	0.723394690574	0.721252042326
1.1	0.735071582181	0.726935652472	0.722717322001	0.722748966055	0.720541553209
1.2	0.731587711214	0.727145758109	0.721314215666	0.721466751407	0.72046350805
1.3	0.729862980031	0.723161546434	0.719808993402	0.718893625126	0.718399624302
1.4	0.733622119816	0.718487679998	0.718833623191	0.717541997623	0.717026958509
1.5	0.731751152074	0.713325941855	0.713142734457	0.71423718352	0.713580655652
