p	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5
0.1	0.709376958525	0.702912151488	0.700701595845	0.700398054287	0.699874604164
0.2	0.713376958525	0.706612600456	0.704175363482	0.70287660802	0.701717944641
0.3	0.714151152074	0.707141391644	0.7045671197	0.702972013909	0.70181719599
0.4	0.71633609831	0.709132698394	0.706508729546	0.704977423555	0.703368257481
0.5	0.717901689708	0.711134227149	0.710129270364	0.707165372418	0.704843307364
0.6	0.717192012289	0.71058881629	0.711525767443	0.706102046517	0.704727893193
0.7	0.717514592934	0.712911360673	0.710111374748	0.706208363503	0.705763784482
0.8	0.715837173579	0.711778894711	0.709762104062	0.706544576482	0.70684525951
0.9	0.716611367128	0.712070198618	0.708757301798	0.707950260127	0.707909557013
1.0	0.720499539171	0.714878957119	0.71035138809	0.708206565699	0.709239957408
1.1	0.720305990783	0.714014725035	0.710202693575	0.707576127668	0.709020724212
1.2	0.716516743472	0.709547590534	0.707054438898	0.705311408685	0.705435242832
1.3	0.710516743472	0.705785381199	0.70277897191	0.702880626802	0.702998052718
1.4	0.706903840246	0.700396262438	0.699712357521	0.70119423347	0.701092369491
1.5	0.711402764977	0.699443227685	0.699581079253	0.698913914462	0.699612174302
